ENTITY_NAME,TICKER,INDUSTRY,SECTOR,PRIMARY_INDUSTRY,MARKETCAP,TEV,TOTAL_REV_LTM,TOTAL_REV_FY2024,TOTAL_REV_FY2023,TOTAL_REV_FY2022,TOTAL_REV_FY2021,EBITDA_LTM,EBITDA_FY2024,EBITDA_FY2023,EBITDA_FY2022,EBITDA_FY2021,EBIT_LTM,EBIT_FY2024,EBIT_FY2023,EBIT_FY2022,EBIT_FY2021,INTEREST_EXPENSE_LTM,INTEREST_EXPENSE_FY2024,INTEREST_EXPENSE_FY2023,INTEREST_EXPENSE_FY2022,INTEREST_EXPENSE_FY2021,NET_INCOME_LTM,NET_INCOME_FY2024,NET_INCOME_FY2023,NET_INCOME_FY2022,NET_INCOME_FY2021,CASH_EQUIV_LTM,CASH_EQUIV_FY2024,CASH_EQUIV_FY2023,CASH_EQUIV_FY2022,CASH_EQUIV_FY2021,TOTAL_ASSETS_LTM,TOTAL_ASSETS_FY2024,TOTAL_ASSETS_FY2023,TOTAL_ASSETS_FY2022,TOTAL_ASSETS_FY2021,TOTAL_DEBT_LTM,TOTAL_DEBT_FY2024,TOTAL_DEBT_FY2023,TOTAL_DEBT_FY2022,TOTAL_DEBT_FY2021,TOTAL_EQUITY_LTM,TOTAL_EQUITY_FY2024,TOTAL_EQUITY_FY2023,TOTAL_EQUITY_FY2022,TOTAL_EQUITY_FY2021,TOTAL_REV_1YR_ANN_GROWTH_LTM,TOTAL_REV_1YR_ANN_GROWTH_FY2024,TOTAL_REV_1YR_ANN_GROWTH_FY2023,TOTAL_REV_1YR_ANN_GROWTH_FY2022,TOTAL_REV_1YR_ANN_GROWTH_FY2021,GROSS_MARGIN_LTM,GROSS_MARGIN_FY2024,GROSS_MARGIN_FY2023,GROSS_MARGIN_FY2022,GROSS_MARGIN_FY2021,EBITDA_MARGIN_LTM,EBITDA_MARGIN_FY2024,EBITDA_MARGIN_FY2023,EBITDA_MARGIN_FY2022,EBITDA_MARGIN_FY2021,EBIT_MARGIN_LTM,EBIT_MARGIN_FY2024,EBIT_MARGIN_FY2023,EBIT_MARGIN_FY2022,EBIT_MARGIN_FY2021,NET_MARGIN_LTM,NET_MARGIN_FY2024,NET_MARGIN_FY2023,NET_MARGIN_FY2022,NET_MARGIN_FY2021,DEBT_TO_EQUITY_LTM,DEBT_TO_EQUITY_FY2024,DEBT_TO_EQUITY_FY2023,DEBT_TO_EQUITY_FY2022,DEBT_TO_EQUITY_FY2021,DEBT_TO_EBITDA_LTM,DEBT_TO_EBITDA_FY2024,DEBT_TO_EBITDA_FY2023,DEBT_TO_EBITDA_FY2022,DEBT_TO_EBITDA_FY2021,ROA_LTM,ROA_FY2024,ROA_FY2023,ROA_FY2022,ROA_FY2021,ROC_LTM,ROC_FY2024,ROC_FY2023,ROC_FY2022,ROC_FY2021,ROE_LTM,ROE_FY2024,ROE_FY2023,ROE_FY2022,ROE_FY2021,LFCF_MARGIN_LTM,LFCF_MARGIN_FY2024,LFCF_MARGIN_FY2023,LFCF_MARGIN_FY2022,LFCF_MARGIN_FY2021,UFCF_MARGIN_LTM,UFCF_MARGIN_FY2024,UFCF_MARGIN_FY2023,UFCF_MARGIN_FY2022,UFCF_MARGIN_FY2021,CURRENT_RATIO_LTM,CURRENT_RATIO_FY2024,CURRENT_RATIO_FY2023,CURRENT_RATIO_FY2022,CURRENT_RATIO_FY2021,UNLEVERED_FCF_LTM,UNLEVERED_FCF_FY2024,UNLEVERED_FCF_FY2023,UNLEVERED_FCF_FY2022,UNLEVERED_FCF_FY2021,LEVERED_FCF_LTM,LEVERED_FCF_FY2024,LEVERED_FCF_FY2023,LEVERED_FCF_FY2022,LEVERED_FCF_FY2021,EV/REVENUE_LTM,EV/EBITDA_LTM,EV/EBIT_LTM,EV/UFCF_LTM,EV/REVENUE_FY2024,EV/EBITDA_FY2024,EV/EBIT_FY2024,EV/UFCF_FY2024,EV/REVENUE_FY2023,EV/EBITDA_FY2023,EV/EBIT_FY2023,EV/UFCF_FY2023,EV/REVENUE_FY2022,EV/EBITDA_FY2022,EV/EBIT_FY2022,EV/UFCF_FY2022,EV/REVENUE_FY2021,EV/EBITDA_FY2021,EV/EBIT_FY2021,EV/UFCF_FY2021,PE_LTM,PE_FY2024,PE_FY2023,PE_FY2022,PE_FY2021,PBV_LTM,PBV_FY2024,PBV_FY2023,PBV_FY2022,PBV_FY2021,EV/REVENUE_FWD_2025,EV/REVENUE_FWD_2026,EV/REVENUE_FWD_2027,EV/EBITDA_FWD_2025,EV/EBITDA_FWD_2026,EV/EBITDA_FWD_2027,EV/EBIT_FWD_2025,EV/EBIT_FWD_2026,EV/EBIT_FWD_2027,PE_FWD_2025,PE_FWD_2026,PE_FWD_2027,PBV_FWD_2025,PBV_FWD_2026,PBV_FWD_2027,PRICE_CLOSE_2025,PRICE_CLOSE_2024,PRICE_CLOSE_2023,PRICE_CLOSE_2022,PRICE_CLOSE_2021,FLOAT_SHARES_PERCENT,SHARES_OUT_2025,SHARES_OUT_2024,SHARES_OUT_2023,SHARES_OUT_2022,SHARES_OUT_2021,BETA_3YR_COUNTRY,BETA_3YR_INDUSTRY,BETA_RSQUARED_3YR_COUNTRY,BETA_RSQUARED_3YR_INDUSTRY,COMMON_DIV_DECLARED_LTM,COMMON_DIV_DECLARED_FY2024,COMMON_DIV_DECLARED_FY2023,COMMON_DIV_DECLARED_FY2022,COMMON_DIV_DECLARED_FY2021,PAYOUT_RATIO_LTM,PAYOUT_RATIO_FY2024,PAYOUT_RATIO_FY2023,PAYOUT_RATIO_FY2022,PAYOUT_RATIO_FY2021
Alpargatas S.A. (BOVESPA:ALPA4),ALPA4,"Textiles, Apparel and Luxury Goods",Consumer Discretionary,Footwear,"6,394.98","6,392.50","4,353,860","4,108,311","3,734,146","4,181,866","3,948,561","317,962","148,914","-284,024","480,639","681,455","228,910","21,973","-384,054","396,968","615,327","149,807","178,221","175,992","52,124","18,563","258,682","107,397","-1,867,484","108,531","692,563","864,577","1,488,511","922,525","647,517","583,176","6,194,674","6,839,725","6,327,389","8,499,680","8,031,764","862,226","1,613,284","1,670,590","1,426,978","288,139","4,133,475","4,036,379","3,727,467","5,759,758","3,467,211",12.98,10.02,-10.71,5.91,25.62,46.65,43.15,40.07,46.1,49.55,7.3,3.63,-7.61,11.49,17.26,5.26,0.54,-10.29,9.49,15.58,5.97,2.63,-49.99,2.9,17.47,20.86,39.97,44.82,24.78,8.31,2.37,8.24,NM,2.76,0.4,2.24,0.21,-3.24,3,5.99,2.72,0.25,-3.82,4.54,10.51,6.44,2.77,-39.37,3.98,20.43,13.56,13.56,-0.73,-89.2,65.75,16.27,16.27,2.22,-88.43,66.05,2.56,2.56,3.25,2.52,0.75,"259,940","668,318","82,808","-3,697,818","2,607,934","166,310","556,930","-27,187","-3,730,396","2,596,333",1.47,16.48,25.29,24.59,1.56,29.44,147.72,9.57,1.56,29.44,147.72,9.57,2.33,29.44,147.72,9.57,1.56,29.44,147.72,9.57,25.32,NM,55.6,12.13,151.45,1.57,1.14,1.19,2.46,7.2,1.43,1.32,1.23,9.12,7.46,6.72,14.27,10.48,9.31,14.7,11.3,9.4,1.7,1.6,1.4,9.57,6.32,10.12,14.45,36.65,NM,"677,810,777","676,421,309","675,091,732","674,268,432","579,018,416",1.5,1.28,0.28,0.2,NA,NA,NA,NA,0.435,23.54,0.02,0,73.51,21.55
Alphaville S.A. (BOVESPA:AVLL3),AVLL3,Household Durables,Consumer Discretionary,Homebuilding,316.43,862.4,"688,985","678,829","478,611","265,134","227,901","157,688","164,316","30,823","-178,416","-176,665","156,346","163,202","29,156","-184,574","-181,273","59,076","79,511","202,215","232,028","84,802","-37,599","85,202","-580,969","-410,715","-381,698","193,614","220,103","3,390","7,767","11,137","1,373,722","1,364,835","1,279,172","1,746,464","1,862,404","704,921","622,929","1,197,119","1,024,677","943,289","-99,796","-31,815","-771,732","-392,464","12,796",24.08,41.83,80.52,16.34,26.47,37.5,38.85,34.95,13.39,1.27,22.89,24.21,6.44,-67.29,-77.52,22.69,24.04,6.09,-69.62,-79.54,-8.69,9.74,-122.07,-155.01,-165.48,NM,NM,NM,NM,"7,371.75",4.47,3.79,38.84,NM,NM,6.99,7.72,1.21,-6.39,-5.45,17.29,20.07,3.45,-14.53,-9.72,46.93,-21.21,99.81,216.36,-186.44,-9.64,-9.64,-0.16,3.82,-19.66,-2.32,-2.32,26.25,58.52,3.6,0.84,0.84,0.45,0.56,0.97,"-82,558","-15,753","125,633","155,153","8,193","-119,480","-65,447",-752,"10,136","-44,808",1.25,5.52,5.57,NM,1.27,5.37,5.41,NM,1.27,5.37,5.41,NM,4.67,5.37,5.41,NM,1.27,5.37,5.41,NM,NM,NM,NM,NM,NM,NM,NM,NM,13.14,1.7,0.83,0.76,NA,3.21,NA,NA,3.23,NA,NA,2.1,NA,NA,1.7,NA,NA,1.62,2.7,5.05,7.7,29.8,62.09,"195,329,766","195,329,766","28,614,918","22,181,845","22,249,894",0.39,0.61,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alupar Investimento S.A. (BOVESPA:ALUP11),ALUP11,Electric Utilities,Utilities,Electric Utilities,"16,327.53","30,134.20","4,322,748","4,002,104","3,311,381","3,833,708","5,234,208","2,923,647","2,914,272","2,463,926","3,002,825","3,906,650","2,756,689","2,743,633","2,316,527","2,859,989","3,774,757","1,306,471","1,222,402","1,166,213","1,180,830","884,724","1,832,784","1,859,906","1,150,986","1,663,873","2,122,816","754,650","807,229","823,209","850,481","377,119","31,334,837","30,689,036","28,436,081","27,933,932","25,719,932","12,775,075","12,729,626","11,820,516","11,689,760","10,096,169","12,053,549","11,723,503","10,628,790","10,371,619","10,001,723",24.31,20.86,-13.63,-26.76,-14.76,69.38,72.64,75.91,82.03,72.98,67.63,72.82,74.41,78.33,74.64,63.77,68.56,69.96,74.6,72.12,24.01,27.14,20.96,23.96,21.31,105.99,108.58,111.21,112.71,100.94,4.36,4.36,4.79,3.88,2.58,5.61,5.8,5.14,6.66,9.77,7.09,7.31,6.51,8.48,12.4,15.72,16.64,10.96,16.33,22.41,12.24,12.24,10.37,1.03,15.13,31.33,31.33,32.39,20.28,25.7,2.05,2.05,1.67,2.11,1.8,"250,498","1,253,895","1,072,379","777,563","1,345,065","-566,047","489,893","343,496","39,544","792,113",6.97,10.04,10.65,120.3,7.53,9.81,10.42,24.03,7.53,9.81,10.42,24.03,3.97,9.81,10.42,24.03,7.53,9.81,10.42,24.03,9.97,11.98,10.24,7.25,7.49,1.91,1.14,1.35,1.23,1.23,8.37,7.67,7.09,9.87,9.19,8.64,11.5,10.66,10.14,14.2,11.8,11,1.6,1.4,1.3,31.75,25.54,28.53,24.53,21.4,67.36,"514,252,960","329,626,867","329,626,866","329,626,872","329,626,872",0.65,0.87,0.27,0.61,0.881,0.836,1.054,1.28,1.094,127.39,87.65,160.42,115.81,78.82
Ambev S.A. (BOVESPA:ABEV3),ABEV3,Beverages,Consumer Staples,Brewers,"186,951.51","173,324.00","91,719,729","89,452,669","79,736,856","79,708,827","72,854,344","27,305,669","26,715,763","23,455,640","22,344,254","21,363,918","22,856,640","21,668,533","18,836,829","17,634,602","17,291,355","2,281,072","2,065,750","2,432,171","2,328,269","1,431,774","15,186,097","14,846,952","14,960,459","14,891,291","13,122,582","16,404,025","28,595,666","16,059,003","14,926,435","16,627,698","142,157,543","162,507,949","132,644,133","137,958,083","138,602,483","3,157,764","3,452,728","3,501,066","3,845,049","3,131,038","93,210,957","99,580,514","80,143,802","83,327,827","84,017,617",13.76,12.19,0.04,9.41,24.8,51.5,51.24,50.72,49.29,51.05,29.77,29.87,29.42,28.03,29.32,24.92,24.22,23.62,22.12,23.73,16.08,16.14,18.19,18.14,17.39,3.39,3.47,4.37,4.61,3.73,0.11,0.12,0.14,0.17,0.14,10,9.18,8.7,7.97,8.19,14.59,14.51,13.78,12.65,12.94,16.05,16.52,18.3,17.8,16.49,21.63,21.63,16.85,10.6,16.11,23.07,23.07,18.75,12.42,17.34,1.1,1.1,0.89,0.93,0.99,"19,363,686","20,635,370","14,952,271","9,902,591","12,631,280","17,938,016","19,344,276","13,432,164","8,447,423","11,736,421",1.89,6.05,7.57,8.95,1.94,6.18,8,8.4,1.94,6.18,8,8.4,2.94,6.18,8,8.4,1.94,6.18,8,8.4,12.81,13.18,15.18,18.17,21.66,2.02,2.41,2.66,2.77,3.31,1.89,1.8,1.7,5.87,5.63,5.34,7.74,7.39,6.96,12.6,11.5,10.5,2.1,2.1,2.1,11.99,12.07,13.84,14.52,15.53,26.48,"15,592,286,429","15,728,236,245","15,739,975,145","15,741,582,087","15,740,152,627",0.62,0.96,0.21,0.41,0.668,0.668,0.73,0.762,0.604,85.76,28.1,82.21,84.68,87.72
Ambipar Emergency Response (NYSEAM:AMBI),AMBI,Commercial Services and Supplies,Industrials,Environmental and Facilities Services,342.67,"3,029.20","3,248,442","3,248,442","2,589,960","1,684,896","822,203","650,883","650,883","483,029","445,160","238,193","485,769","485,769","360,383","333,131","178,030","257,991","257,991","162,527",NA,"10,042","58,759","58,759","17,176","187,875","138,142","358,434","358,434","423,266","271,607","118,918","5,800,282","5,800,282","4,309,172","3,430,757","1,431,081","3,109,233","3,109,233","1,925,974","2,134,989","186,971","1,816,497","1,816,497","1,356,797","447,088","337,918",25.42,25.42,53.72,104.93,125.7,14.74,14.74,19.29,20.6,24.75,20.04,20.04,18.65,26.42,28.97,14.95,14.95,13.92,19.77,21.65,-0.63,-0.63,-2.41,9.59,15.95,171.17,171.17,141.95,477.53,55.33,3.86,3.86,3.55,4.8,0.79,6.01,6.01,5.82,8.57,10.95,7.4,7.4,7.68,13.4,22.5,3.7,3.7,1.9,47.87,41.54,-2.9,-2.9,-0.95,-9.64,8.52,2.06,2.06,2.97,-9.64,9.28,1.79,1.79,1.79,1.58,1.31,"66,978","66,978","76,895","-162,437","76,322","-94,267","-94,267","-24,684","-162,437","70,046",1.08,4.36,7.24,52.49,1.08,4.36,7.24,52.49,1.08,4.36,7.24,52.49,NA,4.36,7.24,52.49,1.08,4.36,7.24,52.49,NM,NM,63.4,NA,NA,0.27,1.33,28.04,NA,NA,1.26,1.11,0.93,5.1,4.44,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,32.83,35.72,52.25,55.47,25.9,"55,429,851","55,429,851","55,429,851","8,481,544","31,625,000",0.59,-0.02,0,0,NA,NA,NA,NA,NA,NM,NM,NM,NA,0.05
Ambipar Participações e Empreendimentos S.A. (BOVESPA:AMBP3),AMBP3,Commercial Services and Supplies,Industrials,Environmental and Facilities Services,"11,892.58","20,645.70","7,243,013","6,413,676","4,872,707","3,789,791","1,916,332","1,816,191","1,489,411","1,148,553","1,043,287","516,937","1,257,160","1,172,315","902,458","708,252","328,742","1,599,689","1,246,115","994,005","665,439",NA,"-31,635","-172,178","56,651","108,745","168,871","2,616,046","2,293,127","2,739,836","2,853,123","793,241","16,918,392","14,655,272","11,642,697","9,882,911","4,861,369","12,364,896","10,020,083","7,259,873","7,209,108","2,743,863","2,166,454","2,732,554","2,613,335","1,299,550","1,304,732",39.04,31.62,28.58,97.76,173.13,18.24,19.56,23.76,22.18,21.74,25.08,23.22,23.57,27.53,26.98,17.36,18.28,18.52,18.69,17.16,-1.42,-4.49,-1.17,1.68,7.52,570.74,366.69,277.8,554.74,210.3,5.85,5.6,5.56,6.91,5.31,5.22,5.57,5.24,6,6.32,6.04,6.48,6.14,7.05,7.46,-1.35,-6.44,2.9,8.35,13.35,3.11,3.11,-11.27,-14.43,12.35,11.89,11.89,1.48,-3.45,12.35,2.91,2.91,2.37,2.41,1.67,"742,171","762,331","72,238","-130,805","236,671","-150,496","199,330","-549,015","-546,704","236,671",2.85,9.76,16.42,27.82,3.22,11.54,17.61,27.08,3.22,11.54,17.61,27.08,2.99,11.54,17.61,27.08,3.22,11.54,17.61,27.08,NA,NM,30.14,16.14,103,NA,12.94,1.81,1.98,3.87,3.28,2.9,2.59,11.27,9.65,8.42,15.77,12.26,10.1,59.5,NA,NA,7.5,6.4,5.1,7.14,13.5,1.69,2.07,4.12,NM,"1,665,627,690","1,670,418,180","1,670,418,690","1,129,355,880","1,129,355,880",1.24,1.77,0.06,0.61,NA,NA,NA,0.013,0.03,NM,NM,NM,37.84,6.12
Americanas S.A. (BOVESPA:AMER3),AMER3,Broadline Retail,Consumer Discretionary,Broadline Retail,"1,223.50","6,431.50","14,467,000","14,349,000","14,759,000","25,821,000","22,521,175","-147,000","907,000","-3,416,000","-4,284,000","-2,526,590","-393,000","648,000","-4,088,000","-4,664,000","-2,751,995","1,350,000","3,514,000","3,975,000","3,511,000","1,655,548","9,099,000","8,281,000","-2,272,000","-13,220,000","-6,237,362","605,000","1,129,000","1,758,000","2,479,000","2,626,157","16,175,000","17,465,000","27,115,000","31,872,000","37,518,174","5,983,000","5,968,000","28,489,000","28,877,000","20,206,130","4,376,000","4,970,000","-28,850,000","-26,670,000","-12,621,901",-0.47,-2.78,-42.84,14.65,122.45,29.76,32.25,28.38,19.5,17.28,-1.02,6.32,-23.15,-16.59,-11.22,-2.72,4.52,-27.7,-18.06,-12.22,62.9,57.71,-15.39,-51.2,-27.7,136.72,120.08,NM,NM,NM,15.79,4.11,NM,NM,NM,-1.17,1.82,-8.66,-8.4,-5.72,-3.52,7.66,-276.82,-59.54,-13.7,-70.07,-69.11,8.08,67.29,397.77,-150.95,-150.95,-10.68,-19.18,50.3,-135.64,-135.64,6.15,-10.68,54.9,1.62,1.62,0.22,0.34,0.48,"-15,378,625","-19,463,000","908,000","-2,757,935","12,363,862","-16,222,375","-21,659,250","-1,576,375","-4,952,310","11,329,145",0.44,16.88,NM,NM,0.45,4.42,9.89,NM,0.45,4.42,9.89,NM,1.03,4.42,9.89,NM,0.45,4.42,9.89,NM,0.12,NM,NM,12.72,NM,0.28,NM,NM,0.52,188.28,0.42,NA,NA,NA,NA,NA,5.41,4.5,3.91,NA,NA,NA,NA,NA,NA,6.11,5.15,92,916,"3,190.00",47.91,"200,244,884","200,242,934","9,025,220","9,014,205","9,031,366",1.46,1.15,0.02,0.06,NA,NA,NA,NA,61.304,NA,NA,NA,NM,NA
Ampla Energia e Serviços S.A. (BOVESPA:CBEE3),CBEE3,Electric Utilities,Utilities,Electric Utilities,"4,104.43","8,947.30","9,229,553","8,741,530","7,796,488","7,732,721","8,473,519","1,869,780","1,894,200","1,477,943","1,433,570","1,061,747","1,008,759","1,098,386","783,245","856,519","575,067",NA,"157,071","351,567","403,923","164,532","688,226","670,153","-191,679","-92,387","83,402","192,839","421,090","65,262","68,143","240,971","19,928,602","19,631,323","17,656,687","16,936,317","16,228,463","5,035,850","4,864,130","6,025,450","5,237,060","6,017,550","8,414,675","8,442,090","5,340,880","5,234,890","3,712,963",16.9,12.12,0.83,-8.74,32.57,10.91,12.93,13.51,13.39,15.08,20.26,21.67,18.96,18.54,12.53,10.93,12.57,10.05,11.08,6.79,7.46,7.67,-2.46,-1.2,0.98,59.85,57.62,112.82,100.04,162.07,2.62,2.52,4.03,3.6,5.61,3.31,3.68,2.83,3.23,2.58,4.97,5.57,4.48,5.3,4,10,9.72,-3.63,-2.07,2.28,-3.96,-3.96,0.69,-4.12,-10.55,-2.84,-2.84,3.5,-0.86,-9.34,0.66,0.66,0.4,0.71,0.69,"2,230,667","-248,081","273,134","-66,440","-791,050","2,230,667","-346,250","53,405","-318,892","-893,883",0.97,4.65,8.87,4.01,1.02,4.63,8.15,NM,1.02,4.63,8.15,NM,0.95,4.63,8.15,NM,1.02,4.63,8.15,NM,5.34,NM,NM,26.93,78.23,0.49,0.48,0.68,0.61,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.01,14.8,13.49,23,0.13,"380,039,548","294,372,134","254,034,806","240,209,921","166,634,326",-0.3,0.2,0,0,0.419,0.419,NA,NA,0.082,NA,NA,NA,NM,0.03
Ânima Holding S.A. (BOVESPA:ANIM3),ANIM3,Diversified Consumer Services,Consumer Discretionary,Education Services,"1,265.31","5,894.20","3,879,124","3,801,379","3,732,940","3,563,231","2,650,805","1,156,077","1,115,065","845,918","712,210","518,541","923,331","841,069","531,794","392,443","281,688","775,617","736,216","775,599","742,509","393,791","279,740","204,444","-213,172","11,454","-81,328","103,150","99,601","139,411","422,431","169,248","10,000,011","9,688,873","9,655,477","10,732,094","9,882,678","5,499,869","5,323,130","5,134,393","5,637,996","5,381,453","2,952,328","2,780,234","2,857,343","3,201,468","2,412,361",1.71,1.83,4.76,34.42,86.42,61.16,62.01,59.31,57.66,52.85,29.8,29.33,22.66,19.99,19.56,23.8,22.13,14.25,11.01,10.63,3.62,2.24,-8.83,-2.87,-3.31,186.29,191.46,179.69,176.11,223.08,4.2,4.2,5.06,6.11,7.97,5.84,5.44,3.26,2.38,2.43,6.99,6.53,3.95,2.95,2.97,9.47,7.25,-7.04,0.41,-3.29,10.75,10.75,5.42,3.95,21.76,22.85,22.85,18.41,16.98,31.05,2.17,2.17,1.05,1.31,1.06,"781,313","868,577","687,124","604,964","822,930","296,552","408,442","202,375","140,896","576,811",1.52,4.51,6.42,7.54,1.55,4.7,7.11,6.79,1.55,4.7,7.11,6.79,2.32,4.7,7.11,6.79,1.55,4.7,7.11,6.79,9.01,NM,NM,NM,NM,0.53,0.25,0.61,0.64,1.32,1.48,1.4,1.34,4.13,3.93,3.78,6.18,5.64,5.27,7.1,5.5,4,0.5,0.5,0.5,3.35,1.58,4.49,3.85,8.32,59.99,"377,703,042","377,703,042","377,375,191","376,066,098","398,411,745",2.38,1.79,0.32,0.59,0.054,0.054,0.471,NA,NA,205.01,289.81,NM,NM,NA
Aracruz Celulose S.A. (BOVESPA:ARCZ6),ARCZ6,Paper and Forest Products,Materials,Paper Products,NA,NA,"3,345,818",NA,NA,NA,NA,"987,960",NA,NA,NA,NA,"357,503",NA,NA,NA,NA,"198,909",NA,NA,NA,NA,"-1,988,323",NA,NA,NA,NA,"160,125",NA,NA,NA,NA,"10,243,979",NA,NA,NA,NA,"7,586,982",NA,NA,NA,NA,"1,955,488",NA,NA,NA,NA,-9.12,NA,NA,NA,NA,21.87,NA,NA,NA,NA,29.53,NA,NA,NA,NA,10.69,NA,NA,NA,NA,-59.76,NA,NA,NA,NA,387.98,NA,NA,NA,NA,7.68,NA,NA,NA,NA,2.08,NA,NA,NA,NA,2.5,NA,NA,NA,NA,-66.92,NA,NA,NA,NA,-24.78,NA,NA,NA,NA,-20.34,NA,NA,NA,NA,1.85,NA,NA,NA,NA,"-3,433,900",NA,NA,NA,NA,"-3,558,218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"Armac Locação, Logística e Serviços S.A. (BOVESPA:ARML3)",ARML3,Trading Companies and Distributors,Industrials,Trading Companies and Distributors,"1,267.18","3,222.10","1,861,863","1,765,969","1,360,967","951,754","389,754","643,931","705,616","623,471","443,519","188,867","430,076","526,591","455,086","320,313","140,648","418,914","404,104","347,484","268,036","63,335","77,926","175,639","163,283","148,592","58,064","363,919","210,912","254,405","938,358","1,668,121","4,585,303","4,637,353","3,982,727","3,730,975","3,281,487","2,529,687","2,479,039","2,136,720","2,139,823","1,911,007","1,281,222","1,311,017","1,229,942","1,158,521","1,112,697",19.81,29.76,43,144.19,250.2,35.93,40.47,46.06,47.03,48.2,34.59,39.96,45.81,46.6,48.46,23.1,29.82,33.44,33.66,36.09,3.94,9.64,12,15.61,14.9,197.44,189.09,173.73,184.7,171.75,3.85,3.45,3.38,4.76,9.9,5.67,7.64,7.38,5.71,4.74,6.76,9.2,8.54,6.33,5.15,6.07,13.83,13.67,13.09,9.7,4.82,4.82,20.69,24.09,6.83,19.12,19.12,36.65,41.69,16.99,2.13,2.13,1.59,3.28,6.09,"433,940","337,612","498,758","396,828","66,206","172,118","85,047","281,580","229,305","26,622",1.73,4.9,7.49,7.43,1.82,4.49,6.12,9.54,1.82,4.49,6.12,9.54,12.97,4.49,6.12,9.54,1.82,4.49,6.12,9.54,17.1,11.38,39.4,69.46,NM,1.03,1.5,5.05,3.63,21.74,1.75,1.69,1.62,4.97,4.05,3.81,6.14,5.15,5.3,22.3,7,5,1,1,0.8,3.66,5.35,16.94,11.67,25.94,44.91,"346,224,609","346,148,500","345,559,368","345,279,121","345,759,521",1.75,1.03,0.25,0.17,0.075,0.314,0.171,0.218,0.137,121.25,62.75,61.24,66.95,84.71
Atlas Critical Minerals Corporation (OTCQB:JUPG.F),JUPG.F,Metals and Mining,Materials,Diversified Metals and Mining,29.62,31.3,"2,103","3,597",NA,NA,NA,NA,"-8,830","-5,008","-3,327",NA,"-23,321","-8,831","-5,073","-3,395",NA,NA,171,5,NA,NA,"-22,839","-9,236","-5,354","-3,395",NA,"2,426","2,451",450,134,NA,"16,036","14,726","2,024",417,NA,"4,156","5,399","3,273",0,NA,"9,619","6,924","-1,561",308,NA,NA,NA,NA,NA,NA,5.88,39.83,NA,NA,NA,NA,-245.49,NA,NA,NA,NM,-245.52,NA,NA,NA,NM,-256.79,NA,NA,NA,43.2,77.97,NM,NA,NA,NA,NM,NM,NA,NA,NA,-73.17,-255.93,NA,NA,NA,-87.3,-308.84,NA,NA,NA,-429.43,813.76,NA,NA,-39.52,-39.52,NA,NA,NA,-36.55,-36.55,NA,NA,NA,0.54,0.54,0.13,1.24,NA,NA,"-1,314","-2,419",NA,NA,NA,"-1,421","-2,422",NA,NA,16.7,NA,NM,NA,9.19,NM,NM,NM,9.19,NM,NM,NM,NA,NM,NM,NM,9.19,NM,NM,NM,NM,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.71,4.03,NA,NA,NA,38.99,"2,764,843","33,336,729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
